"value","footprint","count",,"supplier","digikey","on hand? ","references",
"100uf","2x100mil",3,9,,"493-3271-ND",,"C111 C113 C8",
"5.5MMJACK","5.5mmjack3",1,3,,"CP-012B-ND",,"U67 ",
"TESTCON","7x100mil",1,3,,"A26553-ND",,"U28 ",
"ADSP_JTAG_CON","7x2x100",1,3,,"A26577-ND",,"U6 ",
"RS232_CON","DB9",1,3,,"A32115-ND",,"U9 ",
"FCI_USB_B","FCI_USB_A",0,0,,"609-1045-ND",,"U176 U179 U182 U185 ",
"FCI_USB_B","FCI_USB_B",1,3,,"609-1039-ND",,"U11 ",
"HCNR200","GW-8",8,24,,"516-1522-5-ND",8,"U187 U200 U204 U217 U221 U234 U238 U251 ",
"BF532-160","MBGA-160",1,3,,"ADSP-BF532SBBCZ400-ND",,"U22 ",
"LMV1032-25","microSMD-4",75,225,,"LMV1032UP-25CT-ND",,"U78 U79 U81 U82 U84 U85 U87 U88 U90 U91 U93 U94 U96 U97 U99 U100 U102 U103 U105 U106 U108 U109 U111 U112 U114 U115 U117 U118 U120 U121 U123 U124 U126 U127 U129 U130 U132 U133 U135 U136 U138 U139 U141 U142 U144 U145 U147 U148 U150 U151 U153 U154 U156 U157 U159 U160 U162 U163 U165 U166 U168 U169 U171 U172 U45 U46 ",
"LMV1032-15","microSMD-4",40,120,,"LMV1032UP-15CT-ND",,"U80 U83 U86 U89 U92 U95 U98 U101 U104 U107 U110 U113 U116 U119 U122 U125 U128 U131 U134 U137 U140 U143 U146 U149 U152 U155 U158 U161 U164 U167 U170 U173 U48 ",
"NPN","MINI-3",64,192,,"2SD0814ASLCT-ND",,"Q12 Q3 Q8 Q4 Q1 Q6 Q14 Q17 Q26 Q21 Q25 Q28 Q23 Q15 Q18 Q11 Q40 Q31 Q36 Q32 Q29 Q34 Q42 Q45 Q54 Q49 Q53 Q56 Q51 Q43 Q46 Q39 Q68 Q59 Q64 Q60 Q57 Q62 Q70 Q73 Q82 Q77 Q81 Q84 Q79 Q71 Q74 Q67 Q96 Q87 Q92 Q88 Q85 Q90 Q98 Q101 Q110 Q105 Q109 Q112 Q107 Q99 Q102 Q95 ",
"PNP","MINI-3",48,144,,"2SB0792ASLCT-ND",,"Q13 Q10 Q7 Q5 Q9 Q2 Q16 Q19 Q22 Q24 Q20 Q27 Q41 Q38 Q35 Q33 Q37 Q30 Q44 Q47 Q50 Q52 Q48 Q55 Q69 Q66 Q63 Q61 Q65 Q58 Q72 Q75 Q78 Q80 Q76 Q83 Q97 Q94 Q91 Q89 Q93 Q86 Q100 Q103 Q106 Q108 Q104 Q111 ",
"FAN2001","MLP-6",1,3,,"FAN2001MPXCT-ND",,"U8 ",
"NX3225SA","NDK_XTAL",1,3,,"644-1047-1-ND",,"U7 ",
"TPS62410","QFN-10",1,3,,"296-21647-1-ND",,"U10 ",
"MAX6711Z","SC-70-4",1,3,,"MAX6711ZEXS+TCT-ND",,"U27 ",
"LMV321","SC-70-5",4,12,,"296-9568-1-ND",,"U175 U178 U181 U184 ",
"TPS71718","SC-70-5",1,3,,"296-19646-1-ND",,"U40 ",
"TPS71727","SC-70-5",1,3,,"576-3319-1-ND",,"U39 ",
"TPS71733","SC-70-5",1,3,,"296-19675-1-ND",,"U1 ",
"Designed in kicadocaml","SCSI68",1,3,,"A33476-ND",,"U65 ",
"uclamp33","SOD-523",10,30,,"UCLAMP3301HCT-ND",,"D23 D24 D25 D26 D27 D28 D29 D30 D20 D21 ",
"uclamp0501","SOD-523",3,9,,"UCLAMP0501HCT-ND",,"D3 D2 D1 ",
"IL715-3","SOIC-16",4,12,,"390-1063-5-ND",,"U189 U206 U223 U240 ",
"MCP3304","SOIC-16",0,0,,"MCP3304-BI/SL-ND",,"U61 ",
"LM358","SOIC-8",4,12,,"LM358AMNS-ND",,"U191 U208 U225 U242 ",
"MCP4822","SOIC-8",4,12,,"MCP4822-E/SN-ND",,"U192 U209 U226 U243 ",
"AT45DB081D","SOIC-8",1,3,,"AT45DB081D-SSU-ND",,"U25 ",
"MAX253","SOIC-8",0,0,,"MAX253ESA+-ND",,"U53 ",
"Si8440BB-D-IS","SOICW-16",0,0,,"336-1760-5-ND",,"U63 U62 ",
"TC7WO8F","SOP-8",4,12,,"TC7W08FFCT-ND",,"U194 U211 U228 U245 ",
"D1503","SOT-23",8,24,,"MMBD1503TPMSCT-ND",,"U190 U196 U207 U213 U224 U230 U241 U247 ",
"BAT54S","SOT-23",0,0,,"BAT54SCT-ND",,"U51 U58 U54 U55 U56 U57 ",
"LMC7211","SOT-23-5",8,24,,"LMC7211BIM5CT-ND",,"U193 U197 U210 U214 U227 U231 U244 U248 ",
"LP2985-40","SOT-23-5",0,0,,"LP2985IM5-4.0CT-ND",,"U49 ",
"74LVC2G04","SOT-23-6",4,12,,"296-13010-1-ND",,"U188 U205 U222 U239 ",
"ADCS7476","SOT-23-6",2,6,,"ADCS7476AIMFCT-ND",,"U42 U41 ",
"D","SOT-323",24,72,,"BAS20W-FDICT-ND",,"D32 D31 D35 D36 D33 D34 D40 D39 D43 D44 D41 D42 D48 D47 D51 D52 D49 D50 D56 D55 D59 D60 D57 D58 ",
"SW_DPDT","SW_7201",1,3,,"CKN1055-ND",,"U66 ",
"MAX3421E","TQFP-32",1,3,,"MAX3421EEHJ+-ND",,"U3 ",
"LM324","TSSOP-14",4,12,,"296-9545-1-ND",,"U201 U218 U235 U252 ",
"OPA4348","TSSOP-14",0,0,,"296-12278-1-ND",,"U60 ",
"ADM3202","TSSOP-16",1,3,,"ADM3202ARUZ-ND",,"U2 ",
"74LCX541","TSSOP-20",3,9,,"74LCX541MTCXCT-ND",,"U26 U30 U31 ",
"MAX3004","TSSOP-20",2,6,,"MAX3002EUP+-ND",,"U72 U75 ",
"74HC245","TSSOP-20",1,3,,"74HC245DTR2GOSCT-ND",,"U71 ",
"LD3985M25R","SOT-23-5",0,0,,"497-4254-1-ND",,"U50 ",
,"sum ",1147,,,,,,
