"value","footprint","n",
"0.1uf","0201a",32,"x"
"LMV1032-25","microSMD-4",32,"x"
"LMV1032-25","microSMD-4","-",
"LMV1032-15","microSMD-4",16,"x"
"1uf","0402",6,"x"
"0.1uf","0402",5,"x"
"2.2uf","0402",4,"x"
"0.1uf","0603",4,"x"
"0.01uf","0402",2,"x"
"10uf","0603",2,"x"
"1.5k","0402",1,"x"
"25","0402",1,"x"
"3.3k","0402",1,"x"
"ferrite","0402",1,"x"
"MAX6711Z","SC-70-4",1,"x"
"TPS71727","SC-70-5",1,"x"
"THS4281","SOT-23-5",1,"x"
"ADCS7476","SOT-23-6",1,"x"
