"Err:522","footprint","DIGIKEY PN","stage2 cnt","emg_dsp cnt","total","notes",
"LED",603,"754-1123-1-ND",2,0,2,"red","D5 D6 "
"6.8nf",402,"490-4515-1-ND",2,0,2,,"C19 C20 "
"ADM6713","SC-70-4","ADM6713SAKSZ-REEL7CT-ND",1,0,1,,"U7 "
"BF534/6/7","MBGA-182","ADSP-BF537KBCZ-6AV-ND",1,0,1,"600mhz hipow","U16 "
"BAT54A","SOT-23","BAT54ATPMSCT-ND",4,0,4,,"U31 U26 U32 U108 "
"BAT54S","SOT-23","BAT54S-FDICT-ND",4,0,4,,"U45 U48 U23 U24 "
"F2110",1206,"F2110CT-ND",1,0,1,,"F1 "
"FAN2001","MLP-6","FAN2001MPXCT-ND",2,0,2,,"U5 U11 "
"FDV301N","SOT-23","FDV301NCT-ND",1,0,1,,"U13 "
"MAX3421E","TQFP-32","MAX3421EEHJ+-ND",1,0,1,,"U29 "
"NDS336P","SOT-23","NDS336PCT-ND",3,0,3,,"Q2 Q3 Q1"
"12.4k",603,"P12.4KHCT-ND",1,0,1,,"R20 "
"100uf","2mmradial","P13455-ND",5,0,5,,"C88 C1 C75 C68 C77 "
"2.2k",402,"P2.2KJCT-ND ",2,0,2,,"R37 R40 "
"500k",402,"P510KJCT-ND ",5,0,5,,"R24 R38 R46 R53 R191 "
"18pf",402,"PCC180CQCT-ND",2,0,2,,"C80 C82 "
"10uf",805,"PCC2182CT-ND",6,0,6,,"C42 C63 C14 C76 C213 C214 "
"10uf",603,"PCC2367CT-ND",9,0,9,,"C44 C50 C32 C36 C3 C12 C13 C27 C30 "
"33uh",1812,"DN7874CT-ND",1,0,1,,"L5"
"1.5k",402,"RHM1.5KJCT-ND",2,0,2,,"R31 R186 "
"100k",402,"RHM100KLCT-ND",12,0,12,,"R176 R177 R160 R161 R144 R145 R128 R129 R112 R113 R96 R97 R80 R81 R64 R65 R35 R2 R54 R44 R13 "
10,402,"RHM10JCT-ND",1,0,1,,"R14 "
270,402,"RHM270JCT-ND",2,0,2,,"R8 R10 "
"30k",402,"RHM30KJCT-ND",1,0,1,,"R3 "
50,402,"RHM51JCT-ND",4,0,4,,"R12 R15 R16 R17 "
"10X100","11x100mil","WM8080-ND",2,0,2,,"U17 U20 "
"--microstim--",,,,,0,,
"33pf",603,"399-1055-1-ND",16,,16,"0603 not 0402","C123 C122 C125 C124 C127 C126 C129 C128 C131 C130 C133 C132 C135 C134 C137 C136 "
"0.1uf",805,"587-1133-1-ND",4,,4,"0805 not 0402","C1 C2 C3 C4 "
"2.2uf",805,"399-3523-1-ND",1,,1,,"C57 "
"LM358","TSSOP-8","497-5367-1-ND",8,,8,,"U83 U84 U85 U86 U87 U88 U89 U90 "
"5.5MMJACK","5.5mmjack3","CP-012B-ND",1,,1,,"U3 "
"18pf",603,"445-1272-1-ND",2,,2,,"C16 C15 "
"74LVC1GX04","SOT-23-6","296-17821-1-ND",1,,1,,"U8 "
"2M",805,"RHM2.00MCCT-ND",17,,17,,"R110 R109 R116 R115 R122 R121 R128 R127 R134 R133 R140 R139 R146 R145 R152 R151 R106 "
"TC7WO8F","SOP-8","TC7W08FFCT-ND",8,,8,,"U132 U133 U134 U135 U136 U137 U138 U139 "
"1uf",805,"399-1284-1-ND",64,,64,,"C20 C21 C19 C18 C17 C139 C140 C25 C26 C24 C23 C22 C142 C143 C30 C31 C29 C28 C27 C145 C146 C35 C36 C34 C33 C32 C148 C149 C40 C41 C39 C38 C37 C151 C152 C45 C46 C44 C43 C42 C154 C155 C50 C51 C49 C48 C47 C157 C158 C55 C56 C54 C53 C52 C160 C161 "
